feature,importance
string_id_D4,0.617244986707075
soiling_impact,0.16614490115686253
wind_cooling_effect,0.15244512641214986
irradiance,0.028006475079661475
panel_age,0.006124624430283356
age_efficiency_factor,0.004398836468443819
pressure,0.0027747932518231485
wind_speed,0.002753758336674732
humidity,0.0026128387485174266
humidity_temperature_interaction,0.002409686487752997
current,0.0021260637314182347
soiling_ratio,0.0021021014719866393
maintenance_frequency,0.0020786401098418913
module_temperature,0.0018354410166500953
temperature,0.0015977959562326958
temp_differential,0.0014445969873597866
voltage,0.0011287220943325571
power_irradiance_ratio,0.0009662157897856735
power,0.0007761524711786259
maintenance_count,0.00046505437454315133
string_id_B2,0.0002551431960123748
installation_type_tracking,0.00015192441888729638
installation_type_fixed,8.79352407106269e-05
string_id_C3,6.818383651322992e-05
error_code_E02,1.3310707627190913e-09
error_code_E01,8.942320146845298e-10
cloud_coverage,0.0
