feature,importance
soiling_impact,258
panel_age,235
irradiance,214
current,193
humidity_temperature_interaction,178
soiling_ratio,173
humidity,172
pressure,169
cloud_coverage,154
voltage,133
temp_differential,128
wind_speed,127
temperature,127
age_efficiency_factor,123
power,107
power_irradiance_ratio,101
module_temperature,100
wind_cooling_effect,95
maintenance_frequency,92
maintenance_count,40
installation_type_tracking,16
error_code_E01,14
error_code_E02,14
string_id_D4,13
string_id_B2,11
installation_type_fixed,8
string_id_C3,5
